"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,1521,37119,16740,1,841,1,3151.25,57,1,100,2,0,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,6642,37183,39580,0,842,1,3409.3782,85,1,100,1,0,0,0,99,4,99,99,99,7,2
2012,31,37,56,2,6642,37183,39580,0,842,2,3005.3319,80,2,100,1,0,0,0,99,6,99,99,99,7,1
2012,31,37,56,2,6641,0,20500,0,740,1,3225.3468,41,2,200,1,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,740,2,4293.6725,28,1,200,1,0,0,1,99,99,99,99,6,3,2
2012,31,37,56,2,6642,37183,39580,0,600,1,3134.731,25,2,200,6,0,0,1,5,99,99,99,1,2,1
2012,31,37,56,2,3122,0,24660,0,100,1,2981.9324,66,2,100,4,0,0,2,99,99,1,1,6,3,1
2012,31,37,56,2,3122,0,24660,0,730,1,3258.2858,56,2,100,4,0,0,0,99,6,99,99,99,7,1
2012,31,37,56,2,3122,0,24660,0,500,1,3094.046,72,1,200,5,0,0,0,99,6,99,99,99,6,1
2012,31,37,56,2,1521,37119,16740,1,500,1,3878.3955,48,1,200,1,0,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,1521,37119,16740,1,500,2,3921.2873,61,2,200,1,0,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,3122,0,24660,0,820,1,3854.2826,22,2,100,1,0,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,3122,0,24660,0,820,2,3413.8565,27,1,100,1,0,0,2,99,99,1,2,1,5,2
2012,31,37,56,2,3122,0,24660,0,820,3,4484.9284,2,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,830,1,4235.4222,59,1,651,1,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,830,2,3517.003,54,2,651,1,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,841,1,3124.8255,80,2,100,1,2,0,2,99,99,1,1,97,7,2
2012,31,37,56,2,6642,37183,39580,0,841,2,2937.9417,80,1,100,1,2,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,6642,37183,39580,0,843,1,3541.5656,49,2,200,1,0,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,6642,37183,39580,0,843,2,3548.3888,51,1,200,1,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,843,3,2899.3469,13,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,4,5780.6845,16,1,200,6,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,5,3902.6617,22,2,200,6,0,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,500,1,3427.4492,38,2,100,6,0,0,2,99,99,1,1,6,6,1
2012,31,37,56,2,1521,37119,16740,1,500,2,3135.4253,10,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,500,3,4566.9311,17,2,200,6,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,300,1,3781.653,48,1,100,6,0,0,0,99,6,99,99,99,6,1
2012,31,37,56,2,1521,0,16740,0,300,2,2943.4032,19,1,100,4,0,0,0,99,6,99,99,99,6,2
2012,31,37,56,2,2560,0,22180,0,300,1,2889.7187,85,1,200,1,0,0,2,99,99,1,2,5,6,2
2012,31,37,56,2,2560,0,22180,0,300,2,3166.8647,85,2,200,1,0,0,2,99,99,1,2,5,6,1
2012,31,37,56,2,1521,37119,16740,1,500,1,3527.0835,25,2,200,6,0,0,2,99,99,1,2,2,5,1
2012,31,37,56,2,1521,37119,16740,1,500,2,3737.4091,3,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,830,1,3108.496,42,2,200,6,0,0,2,99,99,1,2,97,5,1
2012,31,37,56,2,6641,0,20500,0,830,2,3108.496,41,2,200,6,0,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3122,0,24660,0,830,1,3108.496,44,2,200,6,0,0,2,99,99,1,2,5,6,1
2012,31,37,56,2,6641,0,20500,0,841,1,4223.6401,30,1,200,1,0,0,2,99,99,1,2,8,5,2
2012,31,37,56,2,6641,0,20500,0,841,2,3185.323,31,2,200,1,0,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,3122,0,24660,0,841,1,4107.947,32,1,100,6,0,0,1,8,99,99,99,1,7,1
2012,31,37,56,2,3122,0,24660,0,841,2,3423.8682,43,2,100,6,0,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,830,1,3581.0443,80,2,100,5,0,0,2,99,99,1,1,4,6,1
2012,31,37,56,2,1521,0,16740,0,730,1,3421.3406,42,2,100,3,0,0,2,99,99,1,1,1,2,1
2012,31,37,56,2,6641,0,20500,0,500,1,3531.2805,42,2,200,6,0,0,2,99,99,1,2,6,7,1
2012,31,37,56,2,1521,37119,16740,1,820,1,3850.4529,49,1,100,1,0,0,2,99,99,1,2,7,7,2
2012,31,37,56,2,1521,37119,16740,1,820,2,3204.4384,50,2,100,1,0,0,1,7,99,99,99,9,7,1
2012,31,37,56,2,1521,37119,16740,1,820,3,3701.9349,26,2,100,6,0,0,2,99,99,1,1,7,5,2
2012,31,37,56,2,3121,37067,49180,0,842,1,3850.4529,49,1,100,1,0,0,2,99,99,1,1,2,7,1
2012,31,37,56,2,3121,37067,49180,0,842,2,3117.8188,49,2,100,1,0,0,2,99,99,1,1,5,7,2
2012,31,37,56,2,3121,37067,49180,0,841,1,3094.046,72,1,200,6,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,1521,37119,16740,1,720,1,3653.2681,31,1,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,2,3771.4971,25,2,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,3,2860.2609,1,2,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,4,3035.3619,8,2,100,9,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,5,3519.212,23,1,100,6,3,100,99,99,99,99,99,99,99,9
