"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","AGE","SEX","RACE","MARST","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,1521,37119,16740,1,841,57,1,100,2,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,6642,37183,39580,0,842,85,1,100,1,0,0,99,4,99,99,99,7,2
2012,31,37,56,2,6642,37183,39580,0,842,80,2,100,1,0,0,99,6,99,99,99,7,1
2012,31,37,56,2,6641,0,20500,0,740,41,2,200,1,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,740,28,1,200,1,0,1,99,99,99,99,6,3,2
2012,31,37,56,2,6642,37183,39580,0,600,25,2,200,6,0,1,5,99,99,99,1,2,1
2012,31,37,56,2,3122,0,24660,0,100,66,2,100,4,0,2,99,99,1,1,6,3,1
2012,31,37,56,2,3122,0,24660,0,730,56,2,100,4,0,0,99,6,99,99,99,7,1
2012,31,37,56,2,3122,0,24660,0,500,72,1,200,5,0,0,99,6,99,99,99,6,1
2012,31,37,56,2,1521,37119,16740,1,500,48,1,200,1,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,1521,37119,16740,1,500,61,2,200,1,0,2,99,99,1,2,9,7,1
2012,31,37,56,2,3122,0,24660,0,820,22,2,100,1,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,3122,0,24660,0,820,27,1,100,1,0,2,99,99,1,2,1,5,2
2012,31,37,56,2,3122,0,24660,0,820,2,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,830,59,1,651,1,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,830,54,2,651,1,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,841,80,2,100,1,0,2,99,99,1,1,97,7,2
2012,31,37,56,2,6642,37183,39580,0,841,80,1,100,1,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,6642,37183,39580,0,843,49,2,200,1,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,6642,37183,39580,0,843,51,1,200,1,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,843,13,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,16,1,200,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,22,2,200,6,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,500,38,2,100,6,0,2,99,99,1,1,6,6,1
2012,31,37,56,2,1521,37119,16740,1,500,10,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,500,17,2,200,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,300,48,1,100,6,0,0,99,6,99,99,99,6,1
2012,31,37,56,2,1521,0,16740,0,300,19,1,100,4,0,0,99,6,99,99,99,6,2
2012,31,37,56,2,2560,0,22180,0,300,85,1,200,1,0,2,99,99,1,2,5,6,2
2012,31,37,56,2,2560,0,22180,0,300,85,2,200,1,0,2,99,99,1,2,5,6,1
2012,31,37,56,2,1521,37119,16740,1,500,25,2,200,6,0,2,99,99,1,2,2,5,1
2012,31,37,56,2,1521,37119,16740,1,500,3,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,830,42,2,200,6,0,2,99,99,1,2,97,5,1
2012,31,37,56,2,6641,0,20500,0,830,41,2,200,6,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3122,0,24660,0,830,44,2,200,6,0,2,99,99,1,2,5,6,1
2012,31,37,56,2,6641,0,20500,0,841,30,1,200,1,0,2,99,99,1,2,8,5,2
2012,31,37,56,2,6641,0,20500,0,841,31,2,200,1,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,3122,0,24660,0,841,32,1,100,6,0,1,8,99,99,99,1,7,1
2012,31,37,56,2,3122,0,24660,0,841,43,2,100,6,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,830,80,2,100,5,0,2,99,99,1,1,4,6,1
2012,31,37,56,2,1521,0,16740,0,730,42,2,100,3,0,2,99,99,1,1,1,2,1
2012,31,37,56,2,6641,0,20500,0,500,42,2,200,6,0,2,99,99,1,2,6,7,1
2012,31,37,56,2,1521,37119,16740,1,820,49,1,100,1,0,2,99,99,1,2,7,7,2
2012,31,37,56,2,1521,37119,16740,1,820,50,2,100,1,0,1,7,99,99,99,9,7,1
2012,31,37,56,2,1521,37119,16740,1,820,26,2,100,6,0,2,99,99,1,1,7,5,2
2012,31,37,56,2,3121,37067,49180,0,842,49,1,100,1,0,2,99,99,1,1,2,7,1
2012,31,37,56,2,3121,37067,49180,0,842,49,2,100,1,0,2,99,99,1,1,5,7,2
2012,31,37,56,2,3121,37067,49180,0,841,72,1,200,6,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,1521,37119,16740,1,720,31,1,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,25,2,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,1,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,8,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,23,1,100,6,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,79,2,100,5,0,2,99,99,1,1,9,6,1
2012,31,37,56,2,1521,37119,16740,1,740,46,1,100,6,0,2,99,99,1,2,9,6,2
2012,31,37,56,2,2560,0,22180,0,830,73,2,200,5,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,2560,0,22180,0,830,45,2,200,6,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,3121,37067,49180,0,830,43,1,100,3,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,3121,37067,49180,0,830,6,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,830,73,1,100,1,0,2,99,99,1,2,97,7,2
2012,31,37,56,2,3121,37067,49180,0,830,77,2,100,1,0,2,99,99,1,2,97,7,2
2012,31,37,56,2,3121,37067,49180,0,830,45,2,100,1,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3121,37067,49180,0,830,45,1,100,1,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3122,0,24660,0,830,43,1,100,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,3122,0,24660,0,830,35,2,100,1,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,710,32,1,100,6,0,2,99,99,2,2,3,3,1
2012,31,37,56,2,6641,0,20500,0,720,32,2,100,1,0,2,99,99,1,2,8,6,1
2012,31,37,56,2,6641,0,20500,0,720,32,1,100,1,0,2,99,99,1,2,8,6,2
2012,31,37,56,2,6641,0,20500,0,720,2,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,28,2,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,27,1,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,67,1,200,1,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,6642,37183,39580,0,843,64,2,200,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,1521,37119,16740,1,830,35,2,100,1,0,2,99,99,1,1,1,6,1
2012,31,37,56,2,1521,37119,16740,1,830,46,1,100,1,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,1521,37119,16740,1,830,10,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,71,1,100,1,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,1521,37119,16740,1,830,67,2,100,1,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,3121,37067,49180,0,820,28,2,651,6,0,99,99,99,99,99,99,99,9
